시점의 연도,실제/예측 구분,총 인구 (명),총 헌혈실적 (건)
2005,실제,48138077,2274336
2006,실제,48371946,2302542
2007,실제,48597652,2087762
2008,실제,48948698,2347184
2009,실제,49182038,2569954
2010,실제,49410366,2664492
2011,실제,49779440,2616575
2012,실제,50004441,2722608
2013,실제,50219669,2914483
2014,실제,50423955,3053425
2015,실제,50617045,3082918
2016,실제,50801405,2866330
2017,실제,51446201,2928670
2018,실제,51635256,2883270
2019,실제,51849861,2791092
2020,실제,51829023,2611401
2021,예측,51821669,2978049.42
2022,예측,51846339,2982411.525
2023,예측,51868100,2986259.267
2024,예측,51887623,2989711.289
2025,예측,51905126,2992806.138
2026,예측,51920462,2995517.823
2027,예측,51933215,2997772.785
2028,예측,51941946,2999316.585
2029,예측,51940598,2999078.234
2030,예측,51926953,2996665.55
2031,예측,51899896,2991881.379
2032,예측,51858138,2984497.803
2033,예측,51800130,2974240.932
2034,예측,51724407,2960851.725
2035,예측,51629895,2944140.281
2036,예측,51515697,2923947.993
2037,예측,51381324,2900188.398
2038,예측,51226482,2872809.51
2039,예측,51051053,2841790.466
2040,예측,50855376,2807191.206
2041,예측,50639882,2769087.939
2042,예측,50404693,2727502.237
2043,예측,50149334,2682350.112
2044,예측,49872642,2633425.923
2045,예측,49574038,2580627.293
2046,예측,49253490,2523948.565
2047,예측,48910639,2463326.259
2048,예측,48544753,2398630.946
2049,예측,48155863,2329868.106
2050,예측,47744500,2257131.63
2051,예측,47311892,2180638.651
2052,예측,46859170,2100589.15
2053,예측,46388584,2017380.968
2054,예측,45903100,1931538.549
2055,예측,45405902,1843624.88
2056,예측,44899931,1754159.986
2057,예측,44387327,1663522.256
2058,예측,43871155,1572253.638
2059,예측,43354083,1480825.885
2060,예측,42837900,1389555.322
2061,예측,42323694,1298634.33
2062,예측,41811745,1208112.416
2063,예측,41302713,1118106.28
2064,예측,40796680,1028630.423
2065,예측,40293293,939622.4267
2066,예측,39792385,851052.7627
2067,예측,39293827,762898.6216
